"","Parroquia","Municipio","forest_decrease_annual","Area","w","forest_decrease_cum","forest_decrease_proportion","forest_decrease_cum_w","forest_decrease_annual_w","Year"
"1","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,1993
"2","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,1994
"3","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,1995
"4","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,1996
"5","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,1997
"6","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,1998
"7","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,1999
"8","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2000
"9","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2001
"10","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2002
"11","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2003
"12","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2004
"13","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2005
"14","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2006
"15","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2007
"16","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2008
"17","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2009
"18","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2010
"19","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2011
"20","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2012
"21","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2013
"22","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2014
"23","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2015
"24","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2016
"25","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2017
"26","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2018
"27","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,0,0,0,0,1993
"28","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,0,0,0,0,1994
"29","Altagracia","Cedeño",2.72963865273,1546.96069739035,0.00608037719201109,2.72963865273,0.00176451713177637,0.0165972326064914,0.0165972326064914,1995
"30","Altagracia","Cedeño",0.188302027541375,1546.96069739035,0.00608037719201109,2.91794068027137,0.000121723860120707,0.0177421799599634,0.00114494735347202,1996
"31","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,2.91794068027137,0,0.0177421799599634,0,1997
"32","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,2.91794068027137,0,0.0177421799599634,0,1998
"33","Altagracia","Cedeño",0.188187755395012,1546.96069739035,0.00608037719201109,3.10612843566639,0.000121649991310365,0.018886432495683,0.00114425253571959,1999
"34","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,3.10612843566639,0,0.018886432495683,0,2000
"35","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,3.10612843566639,0,0.018886432495683,0,2001
"36","Altagracia","Cedeño",0.094122683452396,1546.96069739035,0.00608037719201109,3.20025111911878,6.0843616525731e-05,0.0194587339133978,0.000572301417714828,2002
"37","Altagracia","Cedeño",0.376620949510468,1546.96069739035,0.00608037719201109,3.57687206862925,0.000243458641286627,0.0217487313448348,0.00228999743143701,2003
"38","Altagracia","Cedeño",1.41181994538108,1546.96069739035,0.00608037719201109,4.98869201401033,0.000912641121240347,0.0303331291399563,0.00858439779512147,2004
"39","Altagracia","Cedeño",1.69427608242551,1546.96069739035,0.00608037719201109,6.68296809643584,0.00109522891259207,0.0406349667885063,0.01030183764855,2005
"40","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,6.68296809643584,0,0.0406349667885063,0,2006
"41","Altagracia","Cedeño",0.094113443216432,1546.96069739035,0.00608037719201109,6.77708153965227,6.08376433707701e-05,0.0412072120221011,0.000572245233594824,2007
"42","Altagracia","Cedeño",0.188253957267889,1546.96069739035,0.00608037719201109,6.96533549692016,0.000121692786109863,0.0423518670901786,0.0011446550680775,2008
"43","Altagracia","Cedeño",1.60043406598434,1546.96069739035,0.00608037719201109,8.5657695629045,0.00103456672731518,0.0520831098823074,0.00973124279212876,2009
"44","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,8.5657695629045,0,0.0520831098823074,0,2010
"45","Altagracia","Cedeño",1.31784393331444,1546.96069739035,0.00608037719201109,9.88361349621894,0.000851892317327505,0.0600960980770627,0.00801298819475531,2011
"46","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,9.88361349621894,0,0.0600960980770627,0,2012
"47","Altagracia","Cedeño",0.659023476122587,1546.96069739035,0.00608037719201109,10.5426369723415,0.000426011777309099,0.0641032093902783,0.00400711131321565,2013
"48","Altagracia","Cedeño",0.564649075642004,1546.96069739035,0.00608037719201109,11.1072860479835,0.000365005443638316,0.0675364887513021,0.00343327936102379,2014
"49","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,11.1072860479835,0,0.0675364887513021,0,2015
